timestamp,solar_irradiation,wind_speed,temperature,pv_potential_per_mw,wind_potential_per_mw,month,hour,season,location
2023-01-01 00:00:00,0.0,1.66,32.69,0.0,0.0,1,0,1,Moomba
2023-01-01 01:00:00,0.0,2.09,31.86,0.0,0.0,1,1,1,Moomba
2023-01-01 02:00:00,0.0,2.23,31.08,0.0,0.0,1,2,1,Moomba
2023-01-01 03:00:00,0.0,2.49,30.58,0.0,0.0,1,3,1,Moomba
2023-01-01 04:00:00,0.0,2.82,30.27,0.0,0.0,1,4,1,Moomba
2023-01-01 05:00:00,103.05,3.91,31.08,0.0,0.0010337050754458165,1,5,1,Moomba
2023-01-01 06:00:00,322.98,5.06,33.6,0.046780423200000004,0.011991517146776398,1,6,1,Moomba
2023-01-01 07:00:00,552.15,5.98,36.81,0.07890996509999998,0.036301223593964344,1,7,1,Moomba
2023-01-01 08:00:00,760.25,6.0,39.06,0.10762403099999998,0.03703703703703703,1,8,1,Moomba
2023-01-01 09:00:00,924.78,5.49,40.77,0.12996673163999997,0.021177296296296298,1,9,1,Moomba
2023-01-01 00:00:00,1030.85,4.77,42.1,0.0,0.0076066296296296255,1,0,1,Moomba
2023-01-01 01:00:00,1039.1,3.97,43.08,0.0,0.001251951989026064,1,1,1,Moomba
2023-01-01 02:00:00,927.2,3.22,43.7,0.0,1.4606310013717462e-05,1,2,1,Moomba
2023-01-01 03:00:00,753.75,2.57,43.95,0.0,0.0,1,3,1,Moomba
2023-01-01 04:00:00,635.15,1.89,43.78,0.0,0.0,1,4,1,Moomba
2023-01-01 05:00:00,450.77,1.35,43.19,0.0,0.0,1,5,1,Moomba
2023-01-01 06:00:00,289.77,1.43,42.37,0.04044551706,0.0,1,6,1,Moomba
2023-01-01 07:00:00,115.12,1.92,41.3,0.016142126399999998,0.0,1,7,1,Moomba
2023-01-01 08:00:00,11.9,1.46,39.42,0.0016820412,0.0,1,8,1,Moomba
2023-01-01 09:00:00,0.0,2.35,38.33,0.0,0.0,1,9,1,Moomba
2023-01-01 00:00:00,0.0,3.17,37.47,0.0,6.739368998628251e-06,1,0,1,Moomba
2023-01-01 01:00:00,0.0,3.61,36.57,0.0,0.0003113593964334704,1,1,1,Moomba
2023-01-01 02:00:00,0.0,3.72,35.67,0.0,0.0005120000000000003,1,2,1,Moomba
2023-01-01 03:00:00,0.0,3.34,34.71,0.0,5.391495198902601e-05,1,3,1,Moomba
2023-01-02 00:00:00,0.0,2.85,33.84,0.0,0.0,1,0,1,Moomba
2023-01-02 01:00:00,0.0,2.43,33.0,0.0,0.0,1,1,1,Moomba
2023-01-02 02:00:00,0.0,2.4,32.49,0.0,0.0,1,2,1,Moomba
2023-01-02 03:00:00,0.0,2.75,32.1,0.0,0.0,1,3,1,Moomba
2023-01-02 04:00:00,0.0,3.44,31.68,0.0,0.00011685048010973934,1,4,1,Moomba
2023-01-02 05:00:00,51.0,3.95,31.67,0.0,0.0011760973936899867,1,5,1,Moomba
2023-01-02 06:00:00,253.73,4.18,33.29,0.03679744698,0.002253816186556925,1,6,1,Moomba
2023-01-02 07:00:00,487.12,4.52,35.78,0.06991730784,0.0048172949245541795,1,7,1,Moomba
2023-01-02 08:00:00,735.88,4.38,37.87,0.10469953464,0.0036050370370370364,1,8,1,Moomba
2023-01-02 09:00:00,896.42,3.8,39.88,0.12645976224,0.0007023319615912202,1,9,1,Moomba
2023-01-02 00:00:00,1007.42,3.0,41.65,0.0,0.0,1,0,1,Moomba
2023-01-02 01:00:00,1052.3,2.15,42.97,0.0,0.0,1,1,1,Moomba
2023-01-02 02:00:00,995.88,1.34,43.79,0.0,0.0,1,2,1,Moomba
2023-01-02 03:00:00,656.3,0.57,44.13,0.0,0.0,1,3,1,Moomba
2023-01-02 04:00:00,506.12,0.23,44.17,0.0,0.0,1,4,1,Moomba
2023-01-02 05:00:00,323.08,0.72,43.85,0.0,0.0,1,5,1,Moomba
2023-01-02 06:00:00,167.05,1.01,43.09,0.0232443393,0.0,1,6,1,Moomba
2023-01-02 07:00:00,51.15,1.07,42.06,0.0071489286,0.0,1,7,1,Moomba
2023-01-02 08:00:00,8.57,0.6,40.09,0.00120790722,0.0,1,8,1,Moomba
2023-01-02 09:00:00,0.0,0.76,38.35,0.0,0.0,1,9,1,Moomba
2023-01-02 00:00:00,0.0,2.26,37.16,0.0,0.0,1,0,1,Moomba
2023-01-02 01:00:00,0.0,3.83,35.29,0.0,0.0007843443072702334,1,1,1,Moomba
2023-01-02 02:00:00,0.0,5.98,33.58,0.0,0.036301223593964344,1,2,1,Moomba
