timestamp,pv_generation,wind_generation,renewable_total,demand,grid_required,temperature
2024-01-01 00:00:00,0.0,4.1433313152017014e-05,4.1433313152017014e-05,4.566210045662101,4.566168612348949,24.29
2024-01-01 01:00:00,0.0,0.00011780200666427018,0.00011780200666427018,4.566210045662101,4.5660922436554365,23.56
2024-01-01 02:00:00,0.0,0.0009424160533141614,0.0009424160533141614,4.566210045662101,4.565267629608787,22.95
2024-01-01 03:00:00,0.0,0.002820942048044933,0.002820942048044933,4.566210045662101,4.563389103614056,22.39
2024-01-01 04:00:00,0.0,0.006893467475666817,0.006893467475666817,4.566210045662101,4.559316578186434,21.87
2024-01-01 05:00:00,0.0,0.0858776628582531,0.0858776628582531,4.566210045662101,4.480332382803848,22.73
2024-01-01 06:00:00,1.8379773816052227,0.05641061664005881,1.8943879982452816,4.566210045662101,2.671822047416819,25.3
2024-01-01 07:00:00,3.0876799072914833,0.13751973195600437,3.2251996392474878,5.47945205479452,2.2542524155470325,30.03
2024-01-01 08:00:00,4.209132202758492,0.021213856333832656,4.230346059092325,5.47945205479452,1.2491059957021955,33.4
2024-01-01 09:00:00,5.0,0.0,5.0,5.47945205479452,0.47945205479452024,35.47
2024-01-01 00:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,36.94
2024-01-01 01:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,38.17
2024-01-01 02:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,38.93
2024-01-01 03:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,39.51
2024-01-01 04:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,39.62
2024-01-01 05:00:00,0.0,5.179164144002127e-06,5.179164144002127e-06,5.47945205479452,5.4794468756303765,39.17
2024-01-01 06:00:00,1.763117323869339,8.092443975003287e-05,1.763198248309089,5.47945205479452,3.7162538064854314,38.29
2024-01-01 07:00:00,0.5874471013068177,0.0,0.5874471013068177,5.47945205479452,4.892004953487703,36.79
2024-01-01 08:00:00,0.05794282285016608,0.0,0.05794282285016608,5.47945205479452,5.421509231944354,34.08
2024-01-01 09:00:00,0.0,0.00011780200666427018,0.00011780200666427018,5.47945205479452,5.479334252787856,33.33
2024-01-01 00:00:00,0.0,0.0364669503125427,0.0364669503125427,5.47945205479452,5.442985104481978,32.88
2024-01-01 01:00:00,0.0,0.0364669503125427,0.0364669503125427,5.47945205479452,5.442985104481978,31.91
2024-01-01 02:00:00,0.0,0.02055780489798062,0.02055780489798062,5.47945205479452,5.45889424989654,30.7
2024-01-01 03:00:00,0.0,0.0075393284265133035,0.0075393284265133035,4.566210045662101,4.558670717235588,29.67
2024-01-02 00:00:00,0.0,0.00022205666267409053,0.00022205666267409053,4.566210045662101,4.565987988999426,28.69
2024-01-02 01:00:00,0.0,0.0,0.0,4.566210045662101,4.566210045662101,27.84
2024-01-02 02:00:00,0.0,0.0,0.0,4.566210045662101,4.566210045662101,27.04
2024-01-02 03:00:00,0.0,0.0,0.0,4.566210045662101,4.566210045662101,26.36
2024-01-02 04:00:00,0.0,0.0,0.0,4.566210045662101,4.566210045662101,25.58
2024-01-02 05:00:00,0.0,0.002042508881679055,0.002042508881679055,4.566210045662101,4.564167536780421,26.82
2024-01-02 06:00:00,1.743975498463481,0.0285577192691334,1.7725332177326143,4.566210045662101,2.7936768279294864,29.21
2024-01-02 07:00:00,2.9751570147029915,0.023265452730375516,2.9984224674333673,5.47945205479452,2.481029587361153,33.35
2024-01-02 08:00:00,4.06520636957174,0.004678319789187689,4.0698846893609275,5.47945205479452,1.4095673654335927,37.25
2024-01-02 09:00:00,4.9223980051113845,0.0,4.9223980051113845,5.47945205479452,0.5570540496831358,39.37
2024-01-02 00:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,40.87
2024-01-02 01:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,41.96
2024-01-02 02:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,42.73
2024-01-02 03:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,43.14
2024-01-02 04:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,43.12
2024-01-02 05:00:00,0.0,0.0007856983827345415,0.0007856983827345415,5.47945205479452,5.478666356411786,42.63
2024-01-02 06:00:00,2.032551450122611,0.003569714908641675,2.0361211650312527,5.47945205479452,3.4433308897632675,41.71
2024-01-02 07:00:00,0.8616408165799249,0.00013983743188805743,0.8617806540118129,5.47945205479452,4.617671400782707,40.18
2024-01-02 08:00:00,0.07232505923618943,0.0,0.07232505923618943,5.47945205479452,5.407126995558331,36.01
2024-01-02 09:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,34.02
2024-01-02 00:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,32.61
2024-01-02 01:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,31.62
2024-01-02 02:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,30.96
2024-01-02 03:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,30.8
2024-01-03 00:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,30.72
2024-01-03 01:00:00,0.0,0.0,0.0,5.47945205479452,5.47945205479452,30.01
